如何清空实时目的地	如何取消实时目的地设置
最近都查滴滴，抓到了会怎么样	滴滴是不是合法
为什么我推荐的人已经开了几天了，伯乐奖还没发给我？	未收到推荐奖励
有些人已经升到转车了怎么回事	专车升级时间
钱包里的钱如何取出来呢	如何提现
60043的奖励已经超过一个星期了 一直没到账	未收到奖励
被推荐的人已经有15单了，为什么推荐的人还没收到推荐奖	未收到推荐奖励
顾客迟到，并取消了订单	如何申请补偿
我的车是，日产轩逸尊享版，能不能升级成专车？ ?给发一张车辆级说明可以吗？	加入专车需要的条件
对于刷单的，还把钱还给他，不科学	作弊举报
我收到的抢单都是离我好远的单子 可以设置成离我3 公里之内的单才跳出来提示我呢	指派订单距离乘客较远
我刚才已经到达乘客上车地点，乘客取消行程，怎么办，注册手机号18611488053	如何申请补偿
昨晚高峰连续被人恶意取消单子，怎么办？	乘客刷单提高取消率
快车拼车的话要收时长费吗？	如何做快车拼车
想换车型杂办	如何更改车辆信息
限号当天给派活吗	车辆限号能否服务
推荐朋友的注册好几天了还没审批下来	快车审核时间
本车14号早上8点24分的单 客人未付款	乘客未支付
能听到那个预约单，嗯，就是这个实时订单一单没有	只能听到预约订单听不到实时订单
听不到订单提示怎么办？提示系统正在升级	系统未播报订单
空驾补偿	如何申请补偿
怎么支付车费	如何支付订单
系统检测到您的订单存在作弊，将进行封禁7天和8天账户冻结，期间不能听单和提现。请注意规范行为，违规订单过多将进行更严格处罚。【滴滴专车】	作弊封禁的情况有哪些
在哪补全资料	如何补齐资料
同一乘客	司机是否可以接同一乘客
拒接订单	指派模式拒单是否有影响
空车补助	如何申请补偿
推荐奖什么时候到账	未收到推荐奖励
司机迟到怎么办	何时收取迟到费用
【滴滴专车】师傅您好：您的未支付订单协商三次未成功，前两笔会按平台补偿实际行驶车费50%，最高不超过200，3-5个工作日到帐，请您关注帐户余额，退订回复TD	未支付订单为什么只补偿前两笔的50%
白跑一趟	如何申请补偿
夜间订单	夜间接单有补助吗
空跑补偿	如何申请补偿
空驾驶补偿	如何申请补偿
4.7	如何提升星级
我的注册地是哪里？	如何查询个人信息
无法更改手机号	如何更改电话号码
乘客	乘客未支付
亏本	如何增加司机收入
快车可以拼车吗	如何做快车拼车
接单后乘客取消订单	乘客取消订单是否算取消率
分帐比例是多少	你们的车费是怎么扣的
电话无人接	客服热线打不通
明天还有奖励吗	奖励活动有哪些
空车返程	如何申请补偿
抢单完成率	怎么计算查询完成率
一个人可以注册两个快车吗	同一个账号可以注册两辆车吗
找谁咨询	滴滴的客服电话
司机主页在哪里	如何查询个人信息
都一个小时了	系统未播报订单
滴滴司机客服	滴滴的客服电话
乘客评价	服务评分是如何评定的
最低支付	最低消费是多少
冲单	奖励活动有哪些
可以议价不	滴滴打车如何计费
权益	什么是奖牌权益
沒有订单	系统未播报订单
提现为什么要留余额	可以提什么时候的钱
好几天了	快车审核时间
怎么连接银行卡	怎么绑定银行卡
我想更改电话号码可以吗	如何更改电话号码
卡单了	系统未播报订单
我不要发票了	如何取消发票
我现在在河南用河南的手机号注册了滴滴司机我三月份去北京能不能换成北京的手机号？	如何更改电话号码
改派机会	改派有什么处罚
微信红包可以支付车费吗？	如何支付订单
接机单有奖励吗？	奖励活动有哪些
为什么我的一直是指派模式？	指派订单模式如何设置
没补发	未收到奖励
菏泽	滴滴专车支持的城市
请给予空驶补偿	如何申请补偿
滴滴怎么提成	你们的车费是怎么扣的
客服打不进	客服热线打不通
如何添加高速费	如何添加附加费
送机计费	包车和接送机服务
幸运奖	奖励活动有哪些
已经一个多月了	快车审核时间
暂无进行中的活动	奖励活动有哪些
上线司机如何变更城市	城市如何更改
少钱	你们的车费是怎么扣的
王牌司机奖怎么不发	未收到奖励
我的评星不对	星级如何评定
奖牌制度	什么是奖牌权益
空驶补偿有吗	如何申请补偿
呼和浩特有专车吗	滴滴专车支持的城市
提现超过24小时还未到账	提现到账时间
为什么没有最低消费	最低消费是多少
亏钱	如何增加司机收入
设置了还是听不到	系统未播报订单
快车的收费	滴滴打车如何计费
催款无效	乘客未支付
最新消息	奖励活动有哪些
抢单奖怎么没到	未收到奖励
昨日奖励未到	未收到奖励
我昨天的阳光奖怎么没到	未收到奖励
没有挂靠公司	什么时候给我分配租赁公司
补偿期限	补偿到账时间
没有单子进来	系统未播报订单
我要申请补贴	如何申请补偿
滴滴有没有空驶费	如何申请补偿
没有自动接单功能怎么办	系统自动接单
乘客不确认付款	乘客未支付
我要空驾补助	如何申请补偿
排行	怎么查看司机排名
1月17号平峰奖励没有发放	未收到奖励
我不知道怎么更改	城市如何更改
行程单价	滴滴打车如何计费
都七天多了	未收到奖励
没有单子派给我	系统未播报订单
下午有单两倍为什么没到帐	未收到奖励
我是说被运政捉住怎么办	滴滴是不是合法
软件闪退，导航中途退出困扰我	软件停止运行是什么情况
接单司机关掉导航绕路怎么办？	司机绕路怎么办
请问一下 什么时候才能给我处理啊？	快车审核时间
抢单模式还开启吗？	指派订单模式如何设置
预约订单我到地方了乘客取消了我跑了15公里接她他取消了有没有说法	如何申请补偿
为什么还有抢时实订单的？	什么是实时订单
当时直接发给还是日后补给	未收到奖励
成为车主，我的车变成营运车？8年报废？	加入滴滴车辆8年就要报废吗
28日晚拼车二单加一对拼车15元奖励为什么没到帐。	未收到奖励
导航和实际距离不一致，客人取消订单怎么办	系统定位错误
我有专属奖，为什么拉完没给我	未收到奖励
专车迟到了怎么办	司机迟到
车辆使用期限	加入滴滴车辆8年就要报废吗
我现在是冲单奖，请间还有翻倍奖吗	奖励活动有哪些
接一单扣多少服务费	你们的车费是怎么扣的
为什么我的奖励要比别人低，别人25单奖励150，我却只有110	奖励活动有哪些
我昨天夜高峰做单，有二个单子没有得到奖励	未收到奖励
我到了接客地点，等了五六分钟，被客人取消订单。怎么办	如何申请补偿
南宁这边按什么收费	滴滴打车如何计费
乘客乱评价，给我一个一星评价不属实！我没有收他两次钱！	星级如何评定
能同时接送多个客户吗	能不能同时接两个订单
2月1日，苹果酒店到古城的订单，已经催款，乘客到现在一直未付款。	乘客未支付
2月14日订单承客未支付但是行程定单没有了此单	乘客未支付
快车是否可以帮别人叫车？如果可以在哪里输入人名和电话？	乘客可以帮别人叫车吗
乘客十多天没付钱要怎么处理	乘客未支付
1月1日17:10分，由天一酒店至广州石化大院这单，顾客至今已超48小时，还未支付车资，敬请客服跟进。谢谢！	乘客未支付
2月17号22:30左右有一单顾客还未结算，我已经通过软件催过2次，顾客仍未结算，可以帮助催款么！谢谢！	乘客未支付
一对一的指派老被人抢	派单被抢原因
怎么退出打开的界面	怎么退出软件
在开县	滴滴专车支持的城市
提现逾期没有到账，也没有退回，怎么回事	提现到账时间
私家车算自营车吗	加盟车和自营车含义
我有一笔账单金额不对	你们的车费是怎么扣的
全指派模式，为啥还抢我的单	派单被抢原因
上高速怎么笛算	高速费如何处理
我接驾中被取消	如何申请补偿
请问如果我不想从事滴滴了，需要怎样消号	我要注销滴滴快车账号
我是问，要多少个五星才能提升一级？	如何提升星级
为啥昨天奖励现在还没下来？？	未收到奖励
昨天有笔款未支付，点催款了，要多久才能付款？	乘客未支付
我的钱提现怎么弄	如何提现
什么叫登峰奖	奖励活动有哪些
如果从桃源居到官坝村多少钱？	滴滴打车如何计费
星级低还有奖励吗	奖励活动有哪些
乘客没付款你们客服怎么都不催啊	乘客未支付
你们骗人，为什么一对一定单会被人抢了呢？？？	派单被抢原因
相关部门在查处滴滴专车罚款不分2.28之前滴滴公司给处理？	滴滴是不是合法
关于平台收入费用问题	你们的车费是怎么扣的
我的快车升专车提交很久了，一直没反应	专车升级时间
昨天下帐怎么今天还没到帐	提现到账时间
